"Label (Grouping)","HOUSEHOLDS","HOUSEHOLDS!!Total households","HOUSEHOLDS!!Average household size","FAMILIES","FAMILIES!!Total families","FAMILIES!!Average family size","AGE OF OWN CHILDREN","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only","Total households","Total households!!SELECTED HOUSEHOLDS BY TYPE","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 60 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone!!65 years and over","Total households!!UNITS IN STRUCTURE","Total households!!UNITS IN STRUCTURE!!1-unit structures","Total households!!UNITS IN STRUCTURE!!2-or-more-unit structures","Total households!!UNITS IN STRUCTURE!!Mobile homes and all other types of units","Total households!!HOUSING TENURE","Total households!!HOUSING TENURE!!Owner-occupied housing units","Total households!!HOUSING TENURE!!Renter-occupied housing units"
"        Estimate","","177,786","3.06","","177,786","3.05","","69,805","23.3%","21.6%","55.1%","177,786","","41.2%","42.0%","(X)","(X)","(X)","","90.3%","5.3%","4.4%","","87.6%","12.4%"
"        Margin of Error","","±4,467","±0.04","","±4,467","±0.04","","±3,231","±3.0","±2.7","±3.0","±4,467","","±1.5","±1.1","(X)","(X)","(X)","","±1.0","±0.9","±0.6","","±1.2","±1.2"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","18,524","3.20","","18,524","2.81","","10,704","26.0%","21.9%","52.1%","18,524","","66.0%","26.7%","(X)","(X)","(X)","","80.6%","9.1%","10.3%","","69.4%","30.6%"
"        Margin of Error","","±2,126","±0.21","","±2,126","±0.19","","±1,924","±9.7","±6.5","±9.3","±2,126","","±5.8","±5.5","(X)","(X)","(X)","","±5.3","±3.1","±4.1","","±6.5","±6.5"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","28,543","3.47","","28,543","3.21","","16,649","23.9%","15.7%","60.3%","28,543","","71.4%","26.4%","(X)","(X)","(X)","","62.5%","27.2%","10.3%","","52.1%","47.9%"
"        Margin of Error","","±2,742","±0.16","","±2,742","±0.14","","±2,376","±6.8","±4.2","±7.3","±2,742","","±3.9","±3.6","(X)","(X)","(X)","","±5.0","±4.8","±2.5","","±4.7","±4.7"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","143,447","1.22","","(X)","(X)","","(X)","(X)","(X)","(X)","143,447","","0.6%","45.8%","35.3%","81.7%","33.0%","","53.3%","39.2%","7.5%","","50.8%","49.2%"
"        Margin of Error","","±4,427","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±4,427","","±0.3","±1.8","±1.8","±1.8","±1.9","","±2.3","±2.3","±1.1","","±2.1","±2.1"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,846,684","2.43","","1,846,572","2.99","","727,523","22.6%","20.1%","57.3%","2,846,684","","29.3%","40.4%","30.7%","28.6%","11.1%","","73.9%","18.4%","7.8%","","67.2%","32.8%"
"        Margin of Error","","±11,934","±0.01","","±15,493","±0.02","","±12,431","±1.0","±0.9","±1.3","±11,934","","±0.5","±0.4","±0.3","±0.5","±0.3","","±0.5","±0.4","±0.3","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,342,153","3.04","","1,342,153","3.02","","479,142","24.0%","20.9%","55.1%","1,342,153","","38.9%","40.8%","(X)","(X)","(X)","","87.3%","6.0%","6.6%","","83.9%","16.1%"
"        Margin of Error","","±16,381","±0.02","","±16,381","±0.02","","±9,830","±1.2","±1.1","±1.4","±16,381","","±0.6","±0.6","(X)","(X)","(X)","","±0.5","±0.4","±0.3","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","139,454","3.12","","139,454","2.76","","65,334","22.2%","16.7%","61.1%","139,454","","56.2%","31.3%","(X)","(X)","(X)","","69.9%","16.7%","13.4%","","58.4%","41.6%"
"        Margin of Error","","±7,599","±0.07","","±7,599","±0.07","","±6,252","±3.4","±3.5","±4.5","±7,599","","±2.8","±2.5","(X)","(X)","(X)","","±2.5","±2.4","±1.6","","±3.0","±3.0"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","364,965","3.16","","364,965","2.97","","183,047","19.2%","19.2%","61.7%","364,965","","61.0%","32.4%","(X)","(X)","(X)","","66.9%","23.9%","9.2%","","50.1%","49.9%"
"        Margin of Error","","±10,361","±0.05","","±10,361","±0.05","","±8,612","±1.8","±2.1","±2.3","±10,361","","±1.5","±1.4","(X)","(X)","(X)","","±1.6","±1.5","±0.8","","±1.6","±1.6"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,000,112","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","1,000,112","","1.0%","44.1%","34.1%","81.4%","31.6%","","58.9%","33.1%","8.0%","","52.4%","47.6%"
"        Margin of Error","","±16,201","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±16,201","","±0.2","±1.0","±0.9","±0.8","±0.9","","±0.8","±0.8","±0.5","","±1.1","±1.1"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,087,708","2.65","","7,483,376","3.25","","3,348,647","20.4%","21.3%","58.3%","11,087,708","","34.0%","35.5%","26.4%","26.3%","8.7%","","68.5%","25.3%","6.2%","","62.5%","37.5%"
"        Margin of Error","","±20,293","±0.01","","±34,294","±0.01","","±31,899","±0.4","±0.6","±0.6","±20,293","","±0.3","±0.2","±0.1","±0.3","±0.1","","±0.3","±0.2","±0.2","","±0.2","±0.2"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,401,546","3.34","","5,401,546","3.32","","2,309,300","20.3%","22.4%","57.3%","5,401,546","","46.0%","36.1%","(X)","(X)","(X)","","83.8%","10.2%","6.1%","","79.7%","20.3%"
"        Margin of Error","","±28,187","±0.01","","±28,187","±0.01","","±25,595","±0.5","±0.7","±0.7","±28,187","","±0.4","±0.3","(X)","(X)","(X)","","±0.3","±0.3","±0.2","","±0.4","±0.4"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","605,432","3.19","","605,432","2.84","","261,734","26.1%","17.7%","56.1%","605,432","","53.2%","30.7%","(X)","(X)","(X)","","66.7%","24.8%","8.5%","","54.6%","45.4%"
"        Margin of Error","","±17,487","±0.05","","±17,487","±0.04","","±12,828","±1.8","±2.0","±2.2","±17,487","","±1.6","±1.2","(X)","(X)","(X)","","±1.4","±1.3","±0.8","","±1.4","±1.4"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,476,398","3.37","","1,476,398","3.17","","777,613","18.8%","19.2%","62.0%","1,476,398","","63.4%","29.5%","(X)","(X)","(X)","","62.3%","30.2%","7.5%","","48.3%","51.7%"
"        Margin of Error","","±21,073","±0.03","","±21,073","±0.03","","±16,826","±1.1","±1.0","±1.4","±21,073","","±0.7","±0.6","(X)","(X)","(X)","","±0.8","±0.7","±0.4","","±0.9","±0.9"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,604,332","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","3,604,332","","0.6%","37.9%","28.9%","80.9%","26.6%","","48.5%","46.0%","5.5%","","43.8%","56.2%"
"        Margin of Error","","±30,353","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±30,353","","±0.1","±0.5","±0.4","±0.4","±0.4","","±0.5","±0.5","±0.2","","±0.5","±0.5"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,129,660","2.95","","830,599","3.42","","390,117","20.8%","23.0%","56.3%","1,129,660","","38.0%","32.9%","24.5%","19.5%","7.1%","","76.2%","21.1%","2.8%","","71.2%","28.8%"
"        Margin of Error","","±5,750","±0.01","","±8,372","±0.03","","±6,963","±1.0","±1.0","±1.3","±5,750","","±0.6","±0.4","±0.3","±0.6","±0.4","","±0.7","±0.7","±0.3","","±0.7","±0.7"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","672,316","3.57","","672,316","3.53","","315,174","21.3%","24.9%","53.8%","672,316","","49.9%","32.9%","(X)","(X)","(X)","","87.9%","10.0%","2.2%","","82.7%","17.3%"
"        Margin of Error","","±8,906","±0.02","","±8,906","±0.03","","±6,904","±1.1","±1.2","±1.5","±8,906","","±0.8","±0.6","(X)","(X)","(X)","","±0.7","±0.6","±0.3","","±0.9","±0.9"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","57,561","3.26","","57,561","2.89","","24,840","18.7%","14.6%","66.7%","57,561","","55.1%","23.3%","(X)","(X)","(X)","","70.7%","25.8%","3.5%","","61.6%","38.4%"
"        Margin of Error","","±3,667","±0.13","","±3,667","±0.12","","±2,531","±4.7","±4.1","±5.4","±3,667","","±3.9","±3.2","(X)","(X)","(X)","","±4.0","±3.6","±1.3","","±4.1","±4.1"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","100,722","3.22","","100,722","2.97","","50,103","18.1%","15.0%","66.9%","100,722","","58.3%","29.5%","(X)","(X)","(X)","","65.3%","30.1%","4.6%","","56.6%","43.4%"
"        Margin of Error","","±5,763","±0.09","","±5,763","±0.09","","±3,967","±2.9","±3.0","±3.9","±5,763","","±2.7","±2.3","(X)","(X)","(X)","","±3.1","±3.0","±1.2","","±3.1","±3.1"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","299,061","1.40","","(X)","(X)","","(X)","(X)","(X)","(X)","299,061","","0.9%","36.0%","28.6%","73.5%","26.6%","","54.5%","42.1%","3.4%","","52.1%","47.9%"
"        Margin of Error","","±7,544","±0.03","","(X)","(X)","","(X)","(X)","(X)","(X)","±7,544","","±0.4","±1.6","±1.4","±1.5","±1.4","","±1.5","±1.6","±0.6","","±1.4","±1.4"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","277,090","2.25","","164,496","2.81","","60,110","24.2%","17.4%","58.4%","277,090","","23.4%","46.8%","35.6%","30.3%","14.2%","","71.5%","22.6%","5.9%","","73.7%","26.3%"
"        Margin of Error","","±3,178","±0.03","","±4,186","±0.05","","±2,758","±2.7","±2.4","±2.7","±3,178","","±1.0","±0.9","±0.6","±1.4","±0.9","","±1.4","±1.3","±0.6","","±1.3","±1.3"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","131,234","2.87","","131,234","2.85","","41,233","26.2%","17.7%","56.1%","131,234","","33.4%","49.1%","(X)","(X)","(X)","","87.8%","7.5%","4.8%","","91.2%","8.8%"
"        Margin of Error","","±4,039","±0.05","","±4,039","±0.05","","±2,515","±3.2","±2.7","±3.4","±4,039","","±1.8","±1.5","(X)","(X)","(X)","","±1.3","±1.0","±0.7","","±1.0","±1.0"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,709","3.14","","11,709","2.73","","7,355","13.9%","14.1%","72.0%","11,709","","66.8%","20.3%","(X)","(X)","(X)","","72.0%","17.7%","10.3%","","76.8%","23.2%"
"        Margin of Error","","±1,789","±0.21","","±1,789","±0.18","","±1,552","±7.2","±8.7","±9.8","±1,789","","±7.9","±5.3","(X)","(X)","(X)","","±6.6","±6.4","±3.8","","±5.8","±5.8"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","21,553","2.93","","21,553","2.62","","11,522","23.5%","18.3%","58.2%","21,553","","59.6%","29.9%","(X)","(X)","(X)","","68.4%","23.8%","7.7%","","66.7%","33.3%"
"        Margin of Error","","±2,223","±0.17","","±2,223","±0.15","","±1,738","±6.3","±6.8","±6.8","±2,223","","±5.5","±3.9","(X)","(X)","(X)","","±4.6","±4.3","±2.3","","±4.3","±4.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","112,594","1.29","","(X)","(X)","","(X)","(X)","(X)","(X)","112,594","","0.3%","50.1%","39.5%","74.7%","34.8%","","53.1%","40.5%","6.3%","","54.2%","45.8%"
"        Margin of Error","","±4,613","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±4,613","","±0.2","±2.3","±1.9","±2.2","±2.0","","±2.2","±2.3","±0.9","","±2.4","±2.4"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,380,607","2.50","","2,191,916","3.08","","903,825","21.6%","19.1%","59.3%","3,380,607","","29.8%","40.7%","30.8%","28.2%","10.8%","","73.4%","22.7%","3.9%","","67.4%","32.6%"
"        Margin of Error","","±12,353","±0.01","","±15,569","±0.02","","±12,564","±0.7","±0.7","±0.9","±12,353","","±0.4","±0.3","±0.2","±0.4","±0.2","","±0.3","±0.3","±0.2","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,642,002","3.16","","1,642,002","3.13","","635,505","22.7%","20.0%","57.3%","1,642,002","","41.4%","41.4%","(X)","(X)","(X)","","88.1%","9.0%","2.9%","","83.3%","16.7%"
"        Margin of Error","","±15,837","±0.02","","±15,837","±0.02","","±10,912","±0.8","±0.9","±1.0","±15,837","","±0.6","±0.5","(X)","(X)","(X)","","±0.4","±0.4","±0.2","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","158,347","3.14","","158,347","2.80","","72,934","19.7%","15.5%","64.8%","158,347","","54.3%","32.2%","(X)","(X)","(X)","","71.0%","22.7%","6.3%","","56.3%","43.7%"
"        Margin of Error","","±7,858","±0.08","","±7,858","±0.07","","±5,260","±2.8","±3.2","±3.8","±7,858","","±2.7","±2.2","(X)","(X)","(X)","","±1.9","±2.1","±1.0","","±2.3","±2.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","391,567","3.24","","391,567","3.02","","195,386","18.5%","17.5%","64.0%","391,567","","59.6%","33.0%","(X)","(X)","(X)","","67.8%","27.2%","5.0%","","51.2%","48.8%"
"        Margin of Error","","±9,870","±0.05","","±9,870","±0.04","","±7,673","±1.5","±1.7","±2.1","±9,870","","±1.2","±1.3","(X)","(X)","(X)","","±1.4","±1.4","±0.6","","±1.5","±1.5"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,188,691","1.26","","(X)","(X)","","(X)","(X)","(X)","(X)","1,188,691","","0.7%","43.3%","33.7%","80.2%","30.8%","","55.3%","40.1%","4.6%","","52.2%","47.8%"
"        Margin of Error","","±14,344","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±14,344","","±0.2","±0.6","±0.7","±0.7","±0.6","","±0.7","±0.7","±0.3","","±0.9","±0.9"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,079,953","2.48","","1,935,445","3.05","","817,530","22.1%","20.0%","57.9%","3,079,953","","29.0%","39.0%","29.8%","27.9%","10.6%","","67.2%","27.2%","5.6%","","64.2%","35.8%"
"        Margin of Error","","±10,236","±0.01","","±12,852","±0.02","","±12,047","±0.8","±0.8","±0.8","±10,236","","±0.4","±0.3","±0.2","±0.4","±0.3","","±0.5","±0.4","±0.2","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,499,199","3.14","","1,499,199","3.10","","589,503","23.6%","21.5%","54.9%","1,499,199","","41.4%","40.2%","(X)","(X)","(X)","","84.0%","11.4%","4.6%","","81.0%","19.0%"
"        Margin of Error","","±14,808","±0.02","","±14,808","±0.02","","±10,716","±1.0","±0.8","±1.0","±14,808","","±0.6","±0.5","(X)","(X)","(X)","","±0.6","±0.5","±0.3","","±0.5","±0.5"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","145,218","3.20","","145,218","2.73","","70,893","18.9%","16.8%","64.3%","145,218","","55.9%","28.9%","(X)","(X)","(X)","","67.0%","25.5%","7.5%","","59.2%","40.8%"
"        Margin of Error","","±5,940","±0.09","","±5,940","±0.08","","±5,001","±3.3","±3.0","±3.5","±5,940","","±2.4","±2.2","(X)","(X)","(X)","","±2.0","±1.9","±1.3","","±2.5","±2.5"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","291,028","3.25","","291,028","2.96","","157,134","18.1%","15.8%","66.1%","291,028","","61.8%","29.4%","(X)","(X)","(X)","","60.9%","31.3%","7.7%","","50.0%","50.0%"
"        Margin of Error","","±9,120","±0.05","","±9,120","±0.04","","±7,728","±1.7","±1.7","±2.0","±9,120","","±1.7","±1.4","(X)","(X)","(X)","","±1.7","±1.6","±0.7","","±1.6","±1.6"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,144,508","1.33","","(X)","(X)","","(X)","(X)","(X)","(X)","1,144,508","","0.9%","41.1%","32.1%","75.0%","28.5%","","47.0%","47.0%","6.0%","","46.3%","53.7%"
"        Margin of Error","","±13,192","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±13,192","","±0.2","±0.7","±0.6","±0.8","±0.6","","±0.8","±0.8","±0.4","","±0.9","±0.9"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","736,341","2.34","","463,064","2.92","","166,656","20.5%","18.8%","60.7%","736,341","","25.8%","47.0%","36.6%","31.0%","14.3%","","74.7%","12.0%","13.3%","","74.5%","25.5%"
"        Margin of Error","","±6,960","±0.02","","±6,797","±0.04","","±5,772","±1.7","±1.6","±2.2","±6,960","","±0.7","±0.7","±0.5","±0.8","±0.6","","±0.7","±0.6","±0.6","","±0.8","±0.8"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","338,510","2.99","","338,510","2.96","","107,352","20.3%","19.6%","60.0%","338,510","","35.3%","47.3%","(X)","(X)","(X)","","84.9%","3.5%","11.6%","","88.2%","11.8%"
"        Margin of Error","","±6,745","±0.03","","±6,745","±0.03","","±4,528","±2.2","±2.1","±2.7","±6,745","","±1.1","±1.1","(X)","(X)","(X)","","±1.1","±0.6","±0.9","","±1.0","±1.0"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","39,378","3.06","","39,378","2.63","","17,978","25.5%","14.2%","60.3%","39,378","","54.3%","29.1%","(X)","(X)","(X)","","74.1%","8.0%","17.9%","","71.8%","28.2%"
"        Margin of Error","","±3,166","±0.15","","±3,166","±0.12","","±2,222","±6.4","±6.0","±6.4","±3,166","","±4.7","±3.6","(X)","(X)","(X)","","±4.3","±2.6","±3.9","","±4.1","±4.1"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","85,176","3.10","","85,176","2.89","","41,326","18.8%","18.7%","62.5%","85,176","","56.5%","37.5%","(X)","(X)","(X)","","68.6%","13.9%","17.6%","","59.1%","40.9%"
"        Margin of Error","","±4,367","±0.09","","±4,367","±0.09","","±3,452","±3.7","±3.2","±4.7","±4,367","","±2.8","±2.9","(X)","(X)","(X)","","±2.8","±2.6","±2.3","","±3.1","±3.1"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","273,277","1.20","","(X)","(X)","","(X)","(X)","(X)","(X)","273,277","","0.5%","52.3%","41.3%","83.7%","38.5%","","64.1%","22.6%","13.3%","","62.6%","37.4%"
"        Margin of Error","","±7,207","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±7,207","","±0.2","±1.4","±1.3","±1.2","±1.4","","±1.4","±1.3","±0.9","","±1.5","±1.5"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,491,121","2.31","","1,511,105","2.92","","601,092","21.3%","19.6%","59.1%","2,491,121","","25.8%","41.5%","31.0%","31.0%","12.4%","","70.8%","26.6%","2.6%","","68.1%","31.9%"
"        Margin of Error","","±7,766","±0.01","","±14,001","±0.02","","±9,964","±0.9","±0.8","±1.0","±7,766","","±0.4","±0.2","±0.2","±0.5","±0.3","","±0.4","±0.4","±0.1","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,171,977","2.98","","1,171,977","2.96","","410,718","21.8%","21.4%","56.8%","1,171,977","","36.5%","43.6%","(X)","(X)","(X)","","89.4%","8.8%","1.9%","","87.9%","12.1%"
"        Margin of Error","","±12,919","±0.02","","±12,919","±0.02","","±8,403","±1.1","±1.0","±1.1","±12,919","","±0.6","±0.5","(X)","(X)","(X)","","±0.4","±0.4","±0.2","","±0.5","±0.5"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","112,626","2.98","","112,626","2.59","","59,770","22.5%","14.3%","63.2%","112,626","","57.8%","24.4%","(X)","(X)","(X)","","71.4%","24.5%","4.2%","","63.0%","37.0%"
"        Margin of Error","","±4,625","±0.07","","±4,625","±0.06","","±3,530","±3.0","±2.1","±2.9","±4,625","","±2.2","±2.0","(X)","(X)","(X)","","±2.3","±2.2","±0.9","","±2.3","±2.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","226,502","3.09","","226,502","2.84","","130,604","19.3%","16.3%","64.4%","226,502","","63.7%","26.1%","(X)","(X)","(X)","","61.4%","34.7%","4.0%","","48.9%","51.1%"
"        Margin of Error","","±8,037","±0.06","","±8,037","±0.06","","±6,629","±2.0","±2.0","±2.5","±8,037","","±1.8","±1.3","(X)","(X)","(X)","","±1.7","±1.7","±0.7","","±1.7","±1.7"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","980,016","1.26","","(X)","(X)","","(X)","(X)","(X)","(X)","980,016","","0.6%","44.5%","34.4%","78.7%","31.5%","","50.6%","46.3%","3.1%","","49.5%","50.5%"
"        Margin of Error","","±13,484","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±13,484","","±0.1","±0.6","±0.6","±0.8","±0.6","","±0.8","±0.8","±0.2","","±0.8","±0.8"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","243,321","2.33","","153,365","2.91","","64,025","22.9%","20.6%","56.5%","243,321","","28.3%","41.9%","31.5%","30.4%","12.6%","","73.9%","14.9%","11.1%","","72.7%","27.3%"
"        Margin of Error","","±3,844","±0.04","","±4,835","±0.07","","±3,307","±3.2","±3.4","±3.9","±3,844","","±1.4","±1.1","±0.8","±1.8","±1.1","","±1.5","±1.2","±1.1","","±1.4","±1.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","119,329","3.00","","119,329","2.99","","45,131","23.4%","22.1%","54.6%","119,329","","40.0%","40.8%","(X)","(X)","(X)","","86.0%","5.1%","8.9%","","87.9%","12.1%"
"        Margin of Error","","±4,949","±0.07","","±4,949","±0.07","","±2,894","±3.4","±3.9","±4.2","±4,949","","±2.0","±1.7","(X)","(X)","(X)","","±1.9","±1.2","±1.2","","±1.6","±1.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,725","2.68","","12,725","2.40","","6,371","26.9%","28.0%","45.2%","12,725","","54.1%","28.0%","(X)","(X)","(X)","","67.8%","18.9%","13.4%","","64.6%","35.4%"
"        Margin of Error","","±2,168","±0.19","","±2,168","±0.16","","±1,548","±11.5","±15.1","±14.3","±2,168","","±8.4","±6.9","(X)","(X)","(X)","","±7.6","±7.6","±5.0","","±7.8","±7.8"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","21,311","3.11","","21,311","2.76","","12,523","18.9%","11.6%","69.5%","21,311","","63.8%","25.7%","(X)","(X)","(X)","","66.3%","14.1%","19.6%","","57.6%","42.4%"
"        Margin of Error","","±2,702","±0.21","","±2,702","±0.20","","±2,150","±7.7","±5.4","±8.6","±2,702","","±6.0","±4.6","(X)","(X)","(X)","","±4.9","±4.4","±4.2","","±5.8","±5.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","89,956","1.21","","(X)","(X)","","(X)","(X)","(X)","(X)","89,956","","0.9%","49.0%","36.7%","82.3%","34.2%","","60.7%","27.6%","11.8%","","57.3%","42.7%"
"        Margin of Error","","±4,423","±0.03","","(X)","(X)","","(X)","(X)","(X)","(X)","±4,423","","±0.5","±2.5","±2.3","±2.8","±2.2","","±2.9","±2.5","±1.8","","±3.2","±3.2"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,289,311","2.47","","820,788","3.10","","268,025","17.0%","14.5%","68.5%","1,289,311","","24.1%","51.7%","41.6%","31.1%","15.8%","","80.3%","19.4%","0.2%","","67.4%","32.6%"
"        Margin of Error","","±9,077","±0.02","","±12,139","±0.04","","±7,576","±1.6","±1.4","±2.0","±9,077","","±0.6","±0.5","±0.4","±0.7","±0.5","","±0.6","±0.6","±0.1","","±0.7","±0.7"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","449,853","3.13","","449,853","3.12","","104,163","16.6%","14.0%","69.4%","449,853","","26.7%","56.1%","(X)","(X)","(X)","","90.7%","9.1%","0.2%","","83.9%","16.1%"
"        Margin of Error","","±9,197","±0.04","","±9,197","±0.04","","±5,617","±2.0","±2.2","±2.8","±9,197","","±1.1","±1.0","(X)","(X)","(X)","","±0.7","±0.7","±0.1","","±1.0","±1.0"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","88,458","3.43","","88,458","2.96","","37,466","21.6%","13.4%","65.0%","88,458","","49.3%","42.1%","(X)","(X)","(X)","","85.2%","14.2%","0.6%","","63.1%","36.9%"
"        Margin of Error","","±4,593","±0.10","","±4,593","±0.09","","±3,923","±4.1","±3.5","±5.1","±4,593","","±3.3","±3.2","(X)","(X)","(X)","","±2.6","±2.6","±0.6","","±2.9","±2.9"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","282,477","3.30","","282,477","3.12","","126,396","15.9%","15.3%","68.8%","282,477","","51.5%","35.2%","(X)","(X)","(X)","","76.9%","22.9%","0.2%","","54.2%","45.8%"
